Family,Assessment,Housing,Health and Wellness,Food/Nutrition,Transportation,Employment,Financial Literacy,Family Safety,Heating,Family Relationships,Child Development/Parenting Skills,Family Literacy,School Readiness,Education/Training,Family Engagement,Child's Educational Transitions,Life Transitions,Family Relationships,Community Involvement,Leadership and Advocacy,TOTAL,Classroom,Year
2269's Family,1,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4,3,4,3,2,61,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
2269's Family,2,3,4,3,4,4,3,5,3,4,4,4,4,4,3,4,4,3,3,2,68,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
2136's Family,1,3,4,3,2,3,3,4,3,4,4,3,3,3,3,3,3,4,3,3,61,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
2136's Family,2,4,4,3,4,3,4,4,3,4,4,4,4,3,3,3,4,4,3,2,67,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
2087's Family,1,3,3,3,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,2,48,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
2087's Family,2,4,4,3,5,4,3,4,3,4,5,5,5,3,4,5,4,4,3,3,75,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
1023's Family,1,3,4,4,3,4,3,4,3,3,4,3,4,4,4,4,3,3,3,3,66,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
1023's Family,2,3,4,3,2,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,66,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
1132's Family,1,5,5,3,5,4,4,4,3,5,5,5,5,5,5,5,4,5,4,4,85,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
1132's Family,2,5,5,3,5,4,4,4,3,5,5,5,5,5,5,5,4,5,4,4,85,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
1804's Family,1,4,4,3,3,2,3,4,3,4,3,3,4,3,3,4,3,3,3,2,61,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
1804's Family,2,5,5,3,4,3,4,4,3,4,4,4,4,3,3,4,4,4,3,2,70,ACAP Early Education Services - Caribou Early Education Services - EHS 1,2019-2020
1869's Family,1,3,4,3,4,3,4,5,3,4,3,3,3,3,5,4,3,3,2,4,66,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
1869's Family,2,3,4,3,4,3,4,5,3,4,3,3,3,3,5,4,3,3,2,4,66,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
2243's Family,1,5,4,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,2,71,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
2243's Family,2,5,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,3,2,70,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
1877's Family,1,4,5,3,5,4,4,5,4,4,5,3,4,3,4,4,4,4,3,3,75,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
1877's Family,2,4,5,3,5,4,4,5,4,4,5,4,4,3,4,4,4,4,3,3,76,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
2163's Family,1,3,4,3,4,3,3,4,3,3,3,3,3,2,3,3,2,3,2,2,56,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
2163's Family,2,4,3,3,3,3,3,4,3,3,4,3,3,3,2,3,3,4,2,2,58,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
1014's Family,1,5,5,5,5,4,4,4,4,4,3,5,3,5,3,3,3,4,3,3,75,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
1014's Family,2,5,5,5,5,4,4,4,4,4,3,5,3,5,3,3,3,4,3,3,75,ACAP Early Education Services - Caribou Early Education Services - EHS 2,2019-2020
2141's Family,1,4,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,4,3,2,62,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
2141's Family,2,4,4,4,4,4,3,4,3,4,4,3,4,3,3,4,3,4,3,2,67,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1829's Family,1,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,72,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1829's Family,2,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,72,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
2244's Family,1,4,4,3,4,2,3,5,3,4,4,4,4,2,4,4,3,4,3,3,67,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
2244's Family,2,4,4,4,4,4,3,5,4,4,4,4,4,3,4,4,4,4,4,3,74,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1070's Family,1,3,4,3,1,1,2,3,3,3,4,3,3,3,5,4,4,4,3,2,58,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1070's Family,2,4,4,3,1,2,3,4,3,3,3,3,4,3,4,3,4,4,4,3,62,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
2142's Family,1,4,4,3,4,4,3,4,3,4,4,5,4,4,3,4,4,4,4,3,72,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
2142's Family,2,4,4,3,4,4,3,4,3,4,4,5,4,4,3,4,4,4,4,3,72,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1528's Family,1,3,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,1,52,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1528's Family,2,3,2,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,1,50,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1938's Family,1,4,4,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,2,2,57,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1938's Family,2,4,4,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,2,61,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1023's Family,1,3,4,4,3,4,3,4,3,3,4,3,4,4,4,4,3,3,3,3,66,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1023's Family,2,3,4,3,2,4,3,4,3,4,4,4,4,4,4,4,3,3,3,3,66,ACAP Early Education Services - Early Head Start Home Base - Central HB,2019-2020
1877's Family,1,4,5,3,5,4,4,5,4,4,5,3,4,3,4,4,4,4,3,3,75,ACAP Early Education Services - Early Head Start Home Base - Northern HB,2019-2020
1877's Family,2,4,5,3,5,4,4,5,4,4,5,4,4,3,4,4,4,4,3,3,76,ACAP Early Education Services - Early Head Start Home Base - Northern HB,2019-2020
1126's Family,1,5,4,3,5,4,4,5,4,5,5,3,3,4,5,4,5,5,4,4,81,ACAP Early Education Services - Early Head Start Home Base - Northern HB,2019-2020
1126's Family,2,5,4,4,5,5,4,5,5,4,5,4,5,5,5,5,4,5,4,4,87,ACAP Early Education Services - Early Head Start Home Base - Northern HB,2019-2020
