7/25/2022,ACAP Early Education Services,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Page 1 of 1,Unnamed: 24,Unnamed: 25
3:16 PM,,,,,,,,,,,,,,,,,,,,,,,jchandler,,
,4240 - Family Outcomes - Analysis,,,,,,,,,,,,,,,,,,,,,,,,
,<All Records>,,,,,,,,,,,,,,,,,,,,,,,,
Family,,"Family
ID",Assessment,Housing,Health and Wellness,Food/Nutrition,Transportation,Employment,Financial Literacy,Family Safety,Heating,Family Relationships,Child Development/Parenting Skills,Family Literacy,School Readiness,Education/Training,Family Engagement,,Child's Educational Transitions,Life Transitions,Family Relationships,Community Involvement,,Leadership and Advocacy,TOTAL
ACAP Early Education Services - Caribou Early Education Services - EHS 1,,,,,,,,,,,,,,,,,,,,,,,,,
2269's Family,,2269,1,3,3,3,4,4,3,3,3,3,3,3,3,4,3,,4,3,4,3,,2,61
,,,2,3,4,3,4,4,3,5,3,4,4,4,4,4,3,,4,4,3,3,,2,68
,,,+/-,-,"?
1",-,-,-,-,"?
2",-,"?
1","?
1","?
1","?
1",-,-,,-,"?
1","?
1",-,,-,"?
7"
2136's Family,,2136,1,3,4,3,2,3,3,4,3,4,4,3,3,3,3,,3,3,4,3,,3,61
,,,2,4,4,3,4,3,4,4,3,4,4,4,4,3,3,,3,4,4,3,,2,67
,,,+/-,"?
1",-,-,"?
2",-,"?
1",-,-,-,-,"?
1","?
1",-,-,,-,"?
1",-,-,,"?
1","?
6"
2087's Family,,2087,1,3,3,3,2,2,2,2,2,2,3,3,3,2,3,,3,3,2,3,,2,48
,,,2,4,4,3,5,4,3,4,3,4,5,5,5,3,4,,5,4,4,3,,3,75
,,,+/-,"?
1","?
1",-,"?
3","?
2","?
1","?
2","?
1","?
2","?
2","?
2","?
2","?
1","?
1",,"?
2","?
1","?
2",-,,"?
1","?
27"
1023's Family,,1023,1,3,4,4,3,4,3,4,3,3,4,3,4,4,4,,4,3,3,3,,3,66
,,,2,3,4,3,2,4,3,4,3,4,4,4,4,4,4,,4,3,3,3,,3,66
,,,+/-,-,-,"?
1","?
1",-,-,-,-,"?
1",-,"?
1",-,-,-,,-,-,-,-,,-,-
1132's Family,,1132,1,5,5,3,5,4,4,4,3,5,5,5,5,5,5,,5,4,5,4,,4,85
,,,2,5,5,3,5,4,4,4,3,5,5,5,5,5,5,,5,4,5,4,,4,85
